"Comment,""Designator"",""Footprint"",""JLCPCB Part #"""
"Jumper,""BOOT1"","""","""""
"100nF/50V,""C4"",""0805"",""C49678"""
"10uF/50V,""C5"",""1206"",""C13585"""
"180uF/35V,""C1"",""CAP-SMD"",""C488000"""
"1uF/50V,""C3"",""1206"",""C1848"""
"470uF/35V,""C2"",""SMD-ECAP-10x10"",""C3350"""
"SS32,""D1"",""SMC,DO-214AB"",""C65005"""
"SWD_PORT_SKEDD,""J1"","""","""""
"Screw_Terminal_01x02,""J2"",""CONN-TH_2P-P3.81_KF124-3.81-2P"",""C69811"""
"Screw_Terminal_01x03,""J3"",""CONN-TH"",""C36780"""
"68uH,""L1"",""SMD-12.5x12.5x8"",""C169377"""
"BSS138,""Q1"",""SOT-23-3"",""C400505"""
"10k,""R1 R2 R3 R4 R5"",""0805"",""C17414"""
"ESP8266-12E_ESP-12E,""U1"",""DFN-22_16.0x24.0x2.0P"",""C82891"""
"LD1117DT33TR,""U3"",""TO-252-2"",""C132629"""
"XL1509,""U2"",""SOP-8_3.9x4.9x1.27P"",""C61063"""
