Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",142.0000,-128.7500,90.0000,top
"C1","10uF","C_0805_2012Metric",78.0000,-139.2500,270.0000,top
"C1","10uF","C_0805_2012Metric",142.0000,-100.7500,90.0000,top
"C1","10uF","C_0805_2012Metric",78.0000,-111.2500,270.0000,top
"C1","10uF","C_0805_2012Metric",142.0000,-72.7500,90.0000,top
"C1","10uF","C_0805_2012Metric",78.0000,-83.2500,270.0000,top
"C2","10uF","C_0805_2012Metric",142.0000,-123.2500,270.0000,top
"C2","10uF","C_0805_2012Metric",78.0000,-144.7500,90.0000,top
"C2","10uF","C_0805_2012Metric",142.0000,-95.2500,270.0000,top
"C2","10uF","C_0805_2012Metric",78.0000,-116.7500,90.0000,top
"C2","10uF","C_0805_2012Metric",142.0000,-67.2500,270.0000,top
"C2","10uF","C_0805_2012Metric",78.0000,-88.7500,90.0000,top
"C3","10uF","C_0805_2012Metric",140.0000,-131.7000,180.0000,top
"C3","10uF","C_0805_2012Metric",80.0000,-136.3000,0.0000,top
"C3","10uF","C_0805_2012Metric",140.0000,-103.7000,180.0000,top
"C3","10uF","C_0805_2012Metric",80.0000,-108.3000,0.0000,top
"C3","10uF","C_0805_2012Metric",140.0000,-75.7000,180.0000,top
"C3","10uF","C_0805_2012Metric",80.0000,-80.3000,0.0000,top
"C4","10uF","C_0805_2012Metric",141.3000,-134.5500,90.0000,top
"C4","10uF","C_0805_2012Metric",78.7000,-133.4500,270.0000,top
"C4","10uF","C_0805_2012Metric",141.3000,-106.5500,90.0000,top
"C4","10uF","C_0805_2012Metric",78.7000,-105.4500,270.0000,top
"C4","10uF","C_0805_2012Metric",141.3000,-78.5500,90.0000,top
"C4","10uF","C_0805_2012Metric",78.7000,-77.4500,270.0000,top
"D1","SS210","D_SMA",136.3000,-134.0000,270.0000,top
"D1","SS210","D_SMA",83.7000,-134.0000,90.0000,top
"D1","SS210","D_SMA",136.3000,-106.0000,270.0000,top
"D1","SS210","D_SMA",83.7000,-106.0000,90.0000,top
"D1","SS210","D_SMA",136.3000,-78.0000,270.0000,top
"D1","SS210","D_SMA",83.7000,-78.0000,90.0000,top
"Q1","BSS138","SOT-23",140.0000,-138.3000,180.0000,top
"Q1","BSS138","SOT-23",80.0000,-129.7000,0.0000,top
"Q1","BSS138","SOT-23",140.0000,-110.3000,180.0000,top
"Q1","BSS138","SOT-23",80.0000,-101.7000,0.0000,top
"Q1","BSS138","SOT-23",140.0000,-82.3000,180.0000,top
"Q1","BSS138","SOT-23",80.0000,-73.7000,0.0000,top
"R1","10k","R_0805_2012Metric",132.7000,-134.3000,180.0000,top
"R1","10k","R_0805_2012Metric",87.3000,-133.7000,0.0000,top
"R1","10k","R_0805_2012Metric",132.7000,-106.3000,180.0000,top
"R1","10k","R_0805_2012Metric",87.3000,-105.7000,0.0000,top
"R1","10k","R_0805_2012Metric",132.7000,-78.3000,180.0000,top
"R1","10k","R_0805_2012Metric",87.3000,-77.7000,0.0000,top
"R2","10k","R_0805_2012Metric",132.7000,-138.2000,0.0000,top
"R2","10k","R_0805_2012Metric",87.3000,-129.8000,180.0000,top
"R2","10k","R_0805_2012Metric",132.7000,-110.2000,0.0000,top
"R2","10k","R_0805_2012Metric",87.3000,-101.8000,180.0000,top
"R2","10k","R_0805_2012Metric",132.7000,-82.2000,0.0000,top
"R2","10k","R_0805_2012Metric",87.3000,-73.8000,180.0000,top
"R3","10k","R_0805_2012Metric",132.0000,-128.7500,270.0000,top
"R3","10k","R_0805_2012Metric",88.0000,-139.2500,90.0000,top
"R3","10k","R_0805_2012Metric",132.0000,-100.7500,270.0000,top
