Comment,Designator,Footprint,LCSC,Quantity
10uF/50V,C5,C_1206_3216Metric,C13585,1
68uH,L1,IND-SMD_L12.5-W12.5,C169377,1
10k,"R1,R2,R3,R4,R5",R_0805_2012Metric,C17414,5
1uF/50V,C3,C_1206_3216Metric,C1848,1
SS54,D1,D_SMA,C22452,1
220uF/35V,C1,C_Elec_8x10.2,C3340,1
470uF/35V,C2,C_Elec_10x10.2,C3350,1
100nF/50V,C4,C_0805_2012Metric,C49678,1
XL1509,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C61063,1
AMS1117-3.3,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
ESP8266-12E_ESP-12E,U1,ESP-12E,C82891,1
2N7002,Q1,SOT-23,C8545,1
SWD_PORT_SKEDD,J1,WR_WST_REDFIT_IDC_4Pin,,1
Jumper,BOOT1,PinHeader_1x02_P1.27mm_Vertical,,1
Conn_01x01,J3,TestPoint_Pad_2.0x2.0mm,,1
Conn_01x01,J2,TestPoint_Pad_4.0x4.0mm,,1
Conn_01x01,J4,TestPoint_Pad_4.0x4.0mm,,1
SolderJumper_3_Open,JP1,BIG JUMPER,,1
