Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,Jumper,PinHeader_1x02_P1.27mm_Vertical,112.9,-70.565,180.0,top
C1,220uF/35V,C_Elec_8x10.2,97.4,-66.375,180.0,top
C2,470uF/35V,C_Elec_10x10.2,84.2,-51.5,180.0,top
C3,1uF/50V,C_1206_3216Metric,88.25,-58.3,0.0,top
C4,100nF/50V,C_0805_2012Metric,110.6625,-59.9,0.0,top
C5,10uF/50V,C_1206_3216Metric,112.3,-63.5,90.0,top
D1,SS54,D_SMA,94.75,-57.5,0.0,top
J1,SWD_PORT_SKEDD,WR_WST_REDFIT_IDC_4Pin,99.575,-49.875,180.0,top
JP1,SolderJumper_3_Open,BIG JUMPER,73.45,-66.675,-90.0,top
L1,68uH,IND-SMD_L12.5-W12.5,83.5,-66.3,180.0,top
Q1,2N7002,SOT-23,110.7,-50.9,90.0,top
R1,10k,R_0805_2012Metric,110.7,-55.8,0.0,top
R2,10k,R_0805_2012Metric,110.7,-53.75,180.0,top
R3,10k,R_0805_2012Metric,110.7,-57.85,180.0,top
R4,10k,R_0805_2012Metric,113.6,-50.9,90.0,top
R5,10k,R_0805_2012Metric,110.6625,-48.1,0.0,top
U1,ESP8266-12E_ESP-12E,ESP-12E,123.5,-63.375,0.0,top
U2,XL1509,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,103.75,-57.6,90.0,top
U3,AMS1117-3.3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,107.35,-67.389986,-90.0,top
