Ref,Val,Package,PosX,PosY,Rot,Side
"C2","470uF/35V","C_Elec_10x10.2",84.2000,-51.5000,180.0000,top
"C3","1uF/50V","C_1206_3216Metric",85.9000,-58.3000,180.0000,top
"C4","100nF/50V","C_0805_2012Metric",110.6625,-59.9000,0.0000,top
"C5","10uF/50V","C_1206_3216Metric",112.3000,-63.5000,90.0000,top
"D1","SS32","D_SMC",95.5000,-57.5000,0.0000,top
"F1","Fuse_Small","Fuse_1812_4532Metric",93.3000,-50.6000,270.0000,top
"L1","68uH","L_12x12mm_H8mm",83.5000,-66.3000,0.0000,top
"Q1","BSS138","SOT-23",110.7000,-50.9000,90.0000,top
"R1","10k","R_0805_2012Metric",110.7000,-55.8000,0.0000,top
"R2","10k","R_0805_2012Metric",110.7000,-53.7500,180.0000,top
"R3","10k","R_0805_2012Metric",110.7000,-57.8500,180.0000,top
"R4","10k","R_0805_2012Metric",113.6000,-50.9000,90.0000,top
"R5","10k","R_0805_2012Metric",110.6625,-48.1000,0.0000,top
"U2","XL1509","SOP-8_3.9x4.9mm_P1.27mm",104.6000,-57.6000,180.0000,top
"U3","LD1117DT33TR","TO-252-2",107.5000,-66.7500,270.0000,top
